ID,Czas_przyjscia,Dlugosc_kolejki_w_momencie_przyjscia,Czas_rozpoczecia_badania,Czas_zakonczenia_badania,Czas_oczekiwania,Dzien,Lekarz
1,172,0,172,183,0,1,1
2,183,0,183,196,0,1,3
3,185,0,185,185,0,1,1
4,196,0,196,201,0,1,2
5,198,0,198,201,0,1,3
6,202,0,202,227,0,1,1
7,208,0,208,213,0,1,3
8,211,0,211,230,0,1,2
9,220,0,220,233,0,1,3
10,239,0,239,249,0,1,3
11,241,0,241,302,0,1,1
12,241,0,241,261,0,1,2
13,257,0,257,298,0,1,3
14,259,0,261,265,2,1,2
15,263,0,265,315,2,1,2
16,269,0,298,340,30,1,3
17,272,1,302,302,30,1,1
18,274,2,302,321,28,1,1
19,292,3,315,332,23,1,2
20,296,4,321,375,24,1,1
21,297,5,332,361,35,1,2
22,298,6,340,421,42,1,3
23,330,2,361,371,30,1,2
24,339,2,371,385,32,1,2
25,340,3,375,395,35,1,1
26,356,3,385,394,29,1,2
27,359,4,394,401,35,1,2
28,363,4,395,449,31,1,1
29,368,5,401,403,32,1,2
30,373,5,403,457,30,1,2
31,377,5,421,436,44,1,3
32,381,6,436,452,55,1,3
33,411,2,449,464,38,1,1
34,423,2,452,460,29,1,3
35,426,3,457,492,30,1,2
36,455,1,460,463,5,1,3
37,456,2,463,477,7,1,3
38,487,0,487,503,0,1,1
39,505,0,505,506,0,1,3
40,509,0,509,549,0,1,2
41,548,0,548,616,0,1,3
42,559,0,559,575,0,1,2
43,574,0,574,635,0,1,1
44,604,0,604,606,0,1,2
45,633,0,633,649,0,1,2
46,640,0,640,643,0,1,1
47,642,0,642,647,0,1,3
48,643,0,643,647,0,1,1
49,644,0,647,678,3,1,3
50,652,0,652,674,0,1,1
51,665,0,665,704,0,1,2
52,667,0,674,681,7,1,1
53,667,1,678,692,11,1,3
54,669,2,681,693,13,1,1
55,671,3,692,698,20,1,3
56,675,3,693,714,18,1,1
57,684,2,698,702,13,1,3
58,694,1,702,705,8,1,3
59,698,2,704,713,6,1,2
60,702,2,705,708,3,1,3
61,708,0,708,717,0,1,3
62,714,0,714,745,0,1,2
63,719,0,719,772,0,1,1
64,722,0,722,737,0,1,3
65,724,0,737,763,14,1,3
66,726,1,745,767,19,1,2
67,730,2,763,765,33,1,3
68,730,3,765,789,35,1,3
69,733,4,767,804,34,1,2
70,735,5,772,781,37,1,1
71,736,6,781,784,45,1,1
72,737,7,784,824,48,1,1
73,753,6,789,852,36,1,3
74,765,5,804,882,39,1,2
75,769,5,824,844,55,1,1
76,769,6,844,864,74,1,1
77,772,7,852,860,80,1,3
78,776,7,860,866,84,1,3
79,789,6,864,875,75,1,1
80,120,3,152,180,32,2,3
81,136,3,154,172,19,2,2
82,156,0,172,187,16,2,2
83,180,0,180,218,0,2,3
84,183,0,187,202,4,2,2
85,191,0,202,205,10,2,2
86,196,1,203,224,7,2,1
87,199,2,205,213,6,2,2
88,202,2,213,239,11,2,2
89,202,3,218,219,16,2,3
90,203,4,219,224,16,2,3
91,211,3,224,271,12,2,1
92,218,3,224,231,6,2,3
93,229,0,231,234,1,2,3
94,230,1,234,252,4,2,3
95,244,0,244,283,0,2,2
96,259,0,259,264,0,2,3
97,286,0,286,295,0,2,1
98,311,0,311,315,0,2,1
99,316,0,316,334,0,2,3
100,320,0,320,410,0,2,1
101,330,0,330,389,0,2,2
102,330,0,334,355,4,2,3
103,334,0,355,380,21,2,3
104,338,1,380,394,41,2,3
105,340,2,389,425,49,2,2
106,362,2,394,403,32,2,3
107,366,3,403,405,36,2,3
108,374,4,405,407,31,2,3
